"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","ANPP_woody_stem","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
150,"Serra do Mar Lowland Lowland","Alves_2010_fsal",999,18267,"Serra do Mar Lowland","Lowland","woody","2TEB","ANPP_litterfall","2006","2006","2007",4.0185,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-23.34,-44.83,NA,25.5,2500,"NAC","Neotropic","Cfa","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2006","2006","2007",1.645,TRUE,22.2,9.8,0.57,22.09,30.2,13.2,17,24.8,19.3,25.1,19.3,2381,306,92,42,917,287,901,287,74.0980263157895,0.0609649122807018,936.330701754386,193.525087719298
151,"Serra do Mar Restinga Restinga","Alves_2010_fsal",999,18266,"Serra do Mar Restinga","Restinga","woody","2TEB","ANPP_litterfall","2006","2006","2007",3.854,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-23.36,-44.85,NA,25.5,2500,"NAC","Neotropic","Cfa","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2006","2006","2007",1.081,TRUE,23.2,9.3,0.56,22.15,31.1,14.6,16.5,26.2,20.4,26.2,20.4,2438,302,101,39,901,313,901,313,74.0980263157895,0.0609649122807018,936.330701754386,193.525087719298
152,"Serra do Mar Submontane Submontane","Alves_2010_fsal",999,18268,"Serra do Mar Submontane","Submontane","woody","2TEB","ANPP_litterfall","2006","2006","2007",3.0691,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-23.33,-45.07,NA,19.1,2500,"NAC","Neotropic","Cfb","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2006","2006","2007",2.162,TRUE,16.4,10.8,0.6,22.17,24.2,6.4,17.8,19,13.4,19.1,13.4,1738,268,41,59,789,151,750,151,74.9170321637427,1.8040350877193,902.477192982456,198.229473684211
153,"Susser Schlag PO","Mund_2002_gacs",72,14080,"Susser Schlag","PO","woody","2TEN","ANPP_foliage",NA,"1995","1997",2.19,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",50.15,11.87,740,4.5,1000,"67","Palearctic","Cfb","Temperate oceanic forest","NAC","1924","Initiation of post-disturbance cohort (planted or natural)","1924","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem",NA,"1995","1997",2.38,TRUE,5.6,7.6,0.3,64.92,19.4,-5.9,25.3,13.8,1,13.8,-2.8,854,91,54,16,258,180,258,212,74.1605263157895,138.510701754386,604.949122807017,183.213771929825
154,"Sylvania unmanaged hemlock-hardwood old-growth","Desai_2005_cnee",350,14105,"Sylvania","unmanaged hemlock-hardwood old-growth","woody","2TM","ANPP_foliage",NA,"2002","2003",1.28,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",46.24,-89.34,542,3.9,771,"730","Nearctic","Dfb","Temperate continental forest","NAC","1653","Initiation of post-disturbance cohort (natural)","1653","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem",NA,"2002","2003",0.84,TRUE,3.7,12.4,0.28,108.22,25.4,-18.3,43.7,15.8,-9.3,16.9,-11,839,107,28,37,296,111,295,114,65.8382309941521,206.079736842105,680.970175438597,128.602456140351
155,"Tambopata-Candamo Reserve permanent plot TAM-05 terra firma unmanaged primary forest","Malhi_2004_tacw",999,18332,"Tambopata-Candamo Reserve permanent plot TAM-05","terra firma unmanaged primary forest","woody","2TEB","ANPP_litterfall","1993","1993","1993",5.264,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.830288,-69.270533,223,24.4,1900,"740","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem",NA,"1983.69863","2000.557377",2.7,TRUE,25.3,11,0.74,10.77,32.4,17.6,14.8,26.1,23.7,26.3,23.7,2477,380,72,52,1041,233,957,233,63.9947368421053,0,1366.84210526316,111.731315789474
156,"Tambopata-Candamo Reserve permanent plot TAM-05 terra firma unmanaged primary forest","Malhi_2014_tpma",999,14308,"Tambopata-Candamo Reserve permanent plot TAM-05","terra firma unmanaged primary forest","woody","2TEB","ANPP_foliage",NA,"2005.084932","2011.161644",4.03,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.830288,-69.270533,223,24.4,1900,"740","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem",NA,"2005","2011",2.64,TRUE,25.3,11,0.74,10.77,32.4,17.6,14.8,26.1,23.7,26.3,23.7,2477,380,72,52,1041,233,957,233,63.9947368421053,0,1366.84210526316,111.731315789474
157,"Tambopata-Candamo Reserve permanent plot TAM-06 terra firma, floodplain unmanaged primary forest","Malhi_2004_tacw",999,18333,"Tambopata-Candamo Reserve permanent plot TAM-06","terra firma, floodplain unmanaged primary forest","woody","2TEB","ANPP_litterfall","1991","1983","2000",4.5402,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.8385,-69.296,215,24.4,1900,"740","Neotropics","Af","Tropical rainforest","0.96","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem",NA,"1983.709589","2000.546448",3.55,TRUE,25.4,10.9,0.74,10.49,32.4,17.7,14.7,26.1,23.8,26.3,23.8,2501,383,74,52,1049,238,964,262,63.9947368421053,0,1366.84210526316,111.731315789474
158,"Tambopata-Candamo Reserve permanent plot TAM-06 terra firma, floodplain unmanaged primary forest","Malhi_2014_tpma",999,14323,"Tambopata-Candamo Reserve permanent plot TAM-06","terra firma, floodplain unmanaged primary forest","woody","2TEB","ANPP_foliage",NA,"2005.084932","2011.161644",3.71,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.8385,-69.296,215,24.4,1900,"740","Neotropics","Af","Tropical rainforest","0.96","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem",NA,"2005","2011",2.64,TRUE,25.4,10.9,0.74,10.49,32.4,17.7,14.7,26.1,23.8,26.3,23.8,2501,383,74,52,1049,238,964,262,63.9947368421053,0,1366.84210526316,111.731315789474
159,"Tambopata-Candamo Reserve permanent plot TAM-07 terra firma TAM-07","Malhi_2004_tacw",999,18334,"Tambopata-Candamo Reserve permanent plot TAM-07","terra firma TAM-07","woody","2TEB","ANPP_litterfall","1991","1983","2000",4.3428,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.83,-69.27,209,25.19,2477,"740","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1991","1983","2000",2.8952,TRUE,25.3,11,0.74,10.77,32.4,17.6,14.8,26.1,23.7,26.3,23.7,2477,380,72,52,1041,233,957,233,63.9947368421053,0,1366.84210526316,111.731315789474
160,"Tapajos (Malhi 2009) lowland tropical forest","Malhi_2011_taoe",999,14352,"Tapajos (Malhi 2009)","lowland tropical forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.27,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.81,-54.95,200,27.2,1920,"256","Neotropics","Am","Tropical rainforest","NAC","NAC","NI","NAC","NI","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",3.75,TRUE,25.1,9.7,0.79,5.45,31.6,19.4,12.2,24.8,25.8,25.9,24.6,2018,372,45,65,950,139,149,785,75.5223684210526,0,1123.08070175439,217.178947368421
161,"Tapajos,RP014 Nepstad et al. 2002","Malhi_2011_taoe",999,14402,"Tapajos,RP014","Nepstad et al. 2002","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.93,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.75,-55,100,26.1,1968,"256","Neotropics","Am","Tropical rainforest","NAC","NAC","NI","NAC","NI","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",2.6,TRUE,25.5,9.7,0.79,5.57,31.9,19.7,12.2,25.2,26.2,26.3,25,1995,358,42,65,931,134,147,789,75.5223684210526,0,1123.08070175439,217.178947368421
162,"Tapajos,RP014 terra firma,1-4d TAP-01","Malhi_2004_tacw",999,18362,"Tapajos,RP014","terra firma,1-4d TAP-01","woody","2TEB","ANPP_litterfall","1989","1983","1995",3.102,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.75,-55,100,26.1,1968,"256","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1989","1983","1995",2.4252,TRUE,25.5,9.7,0.79,5.57,31.9,19.7,12.2,25.2,26.2,26.3,25,1995,358,42,65,931,134,147,789,75.5223684210526,0,1123.08070175439,217.178947368421
163,"Tapajos,RP014 terra firma,5-8d TAP-02","Malhi_2004_tacw",999,18363,"Tapajos,RP014","terra firma,5-8d TAP-02","woody","2TEB","ANPP_litterfall","1989","1983","1995",3.008,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.75,-55,100,26.1,1968,"256","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1989","1983","1995",2.5662,TRUE,25.5,9.7,0.79,5.57,31.9,19.7,12.2,25.2,26.2,26.3,25,1995,358,42,65,931,134,147,789,75.5223684210526,0,1123.08070175439,217.178947368421
164,"Tono unmanaged","Girardin_2010_nppa",999,18335,"Tono","unmanaged","woody","2TEB","ANPP_litterfall","2005","2003","2007",2.3406,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",1.2596,TRUE,22.8,12,0.8,6.85,30.1,15.2,14.9,22.9,21.9,23.4,21.8,2749,389,103,44,1101,336,779,340,61.7873538011696,10.0759649122807,1058.62368421053,118.613947368421
165,"Tono unmanaged","Girardin_2010_nppa",999,18335,"Tono","unmanaged","woody","2TEB","ANPP_litterfall","2005","2003","2007",2.3406,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1.34,TRUE,22.8,12,0.8,6.85,30.1,15.2,14.9,22.9,21.9,23.4,21.8,2749,389,103,44,1101,336,779,340,61.7873538011696,10.0759649122807,1058.62368421053,118.613947368421
166,"Tono unmanaged","Girardin_2010_nppa",999,15191,"Tono","unmanaged","woody","2TEB","ANPP_foliage",NA,"2007","2008",2.49,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",1.2596,TRUE,22.8,12,0.8,6.85,30.1,15.2,14.9,22.9,21.9,23.4,21.8,2749,389,103,44,1101,336,779,340,61.7873538011696,10.0759649122807,1058.62368421053,118.613947368421
167,"Tono unmanaged","Girardin_2010_nppa",999,15191,"Tono","unmanaged","woody","2TEB","ANPP_foliage",NA,"2007","2008",2.49,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1.34,TRUE,22.8,12,0.8,6.85,30.1,15.2,14.9,22.9,21.9,23.4,21.8,2749,389,103,44,1101,336,779,340,61.7873538011696,10.0759649122807,1058.62368421053,118.613947368421
168,"Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,18336,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.1186,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
169,"Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,18336,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.1186,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",0.94,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
170,"Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,15225,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.19,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
171,"Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,15225,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.19,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",0.94,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
172,"Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,18337,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.7202,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1.57,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
173,"Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,18337,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.7202,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",1.4758,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
174,"Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,15238,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.83,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1.57,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
175,"Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,15238,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.83,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",1.4758,TRUE,14.2,15.1,0.75,10.86,23.2,3.3,19.9,14.6,12.6,15.3,12.6,359,62,6,59,164,30,103,31,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
176,"Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,18338,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.3536,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",0.79,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
177,"Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,18338,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.3536,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",0.7426,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
178,"Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,15251,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.44,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",0.79,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
179,"Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,15251,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.44,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",0.7426,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
180,"Trocha Union 8 unmanaged upland tropical forest","Girardin_2010_nppa",999,18339,"Trocha Union 8","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.3536,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,1855,18,2472,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",0.7426,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
181,"Trocha Union 8 unmanaged upland tropical forest","Girardin_2010_nppa",999,18339,"Trocha Union 8","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",1.3536,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,1855,18,2472,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",0.79,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
182,"Trocha Union 8 unmanaged upland tropical forest","Girardin_2010_nppa",999,15264,"Trocha Union 8","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.44,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,1855,18,2472,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",0.7426,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
183,"Trocha Union 8 unmanaged upland tropical forest","Girardin_2010_nppa",999,15264,"Trocha Union 8","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",1.44,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,1855,18,2472,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",0.79,TRUE,19.5,13.9,0.79,7.86,28,10.6,17.4,19.7,18.5,20.4,18.4,1990,301,65,51,844,213,570,224,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
184,"Tropenstation La Gamba Gorge","Hofhansl_2011_tsaa",999,18434,"Tropenstation La Gamba","Gorge","woody","2TEB","ANPP_litterfall","2005","2005","2005",6.0536,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Costa Rica",8.7,-83.2,NA,28,5750,"NAC","Neotropic","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2005","2005","2005",7.661,TRUE,26.4,10.3,0.75,7.21,33.6,20,13.6,25.9,26.5,27.4,25.5,4680,697,132,46,1775,450,953,1467,56.0421783625731,0,1417.12105263158,186.595701754386
185,"Tropenstation La Gamba Ridge","Hofhansl_2011_tsaa",999,18433,"Tropenstation La Gamba","Ridge","woody","2TEB","ANPP_litterfall","2005","2005","2005",5.1136,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Costa Rica",8.7,-83.2,NA,28,5750,"NAC","Neotropic","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2005","2005","2005",5.2734,TRUE,26.4,10.3,0.75,7.21,33.6,20,13.6,25.9,26.5,27.4,25.5,4680,697,132,46,1775,450,953,1467,56.0421783625731,0,1417.12105263158,186.595701754386
186,"Tura natural regeneration after fire.Larix gmelinii forest","Luyssaert_2007_cbob",105,15309,"Tura","natural regeneration after fire.Larix gmelinii forest","woody","2TDN","ANPP_foliage",NA,"2000","2004",0.27,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",64.2,100.45,250,-8.9,360,"760","Palearctic","Dfc","Boreal mountain system","NAC","1899","Initiation of post-disturbance cohort (natural)","1899","Burned","1899",0,0,0,"boreal","ANPP_woody_stem",NA,"2000","2004",0.15,TRUE,-9.1,12.9,0.19,185.17,23.9,-41.3,65.2,14,-29.3,14,-33.6,382,61,12,52,171,42,171,51,75.6824561403509,266.710877192982,408.519298245614,167.155
